YEAR,crude_mortality_pct,avg_ramr,,,,,,YEAR,total_deaths,total_cases
2010,4.38,4.594043528,,,,,,2010,17757,405039
2011,4.35,4.480621642,,,,,,2011,17403,400085
2012,5.34,6.70357029,,,,,,2012,20017,374742
2013,5.28,6.991629105,,,,,,2013,19686,372969
2014,4.88,5.285622066,,,,,,2014,21026,431182
2015,4.79,4.997639485,,,,,,2015,16283,339842
2016,4.88,6.355706874,,,,,,2016,21957,449825
2017,4.67,5.739856256,,,,,,2017,21494,460406
2018,4.7,5.147149918,,,,,,2018,22301,474102
2019,4.6,5.877954847,,,,,,2019,22197,482877
2020,5.24,6.399690083,,,,,,2020,24782,472625
2021,5.37,6.445005045,,,,,,2021,25551,475689
2022,5.67,6.438306589,,,,,,2022,29782,525062
2023,4.6,4.198588899,,,,,,2023,21861,475106